system   I             system.c:245  al_install_system                [   0.00037] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.06135] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06137] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06138] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06140] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06141] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06142] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06144] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06145] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06147] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06149] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06150] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06152] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06153] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06154] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06155] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06157] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06158] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06160] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06161] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06163] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06164] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06165] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06167] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06168] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06170] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06171] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06173] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06174] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06176] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06177] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06178] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06180] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06182] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06183] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06184] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06186] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06187] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06189] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06190] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06191] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06193] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06194] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06195] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06197] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06198] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06200] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06201] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06203] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06204] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06206] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06207] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06209] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06210] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06211] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06213] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06214] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06215] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06217] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06219] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06220] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06221] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06223] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06224] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06226] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06227] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06229] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06230] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06231] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06233] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06234] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06235] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.06237] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1670 d3d_create_display_internals     [   0.06242] Trying format 0.
d3d      I         d3d_disp.cpp:1346 d3d_display_thread_proc          [   0.06319] Chose a display format: 23
d3d      I         d3d_disp.cpp:1415 d3d_display_thread_proc          [   0.06322] Normal window.
d3d      I         d3d_disp.cpp:779  d3d_create_device                [   0.08091] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:837  d3d_create_device                [   0.77460] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:845  d3d_create_device                [   0.77464] Success
d3d      D         d3d_disp.cpp:1693 d3d_create_display_internals     [   0.77466] Resumed after wait.
d3d      I         d3d_disp.cpp:1726 d3d_create_display_internals     [   0.77471] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1757 d3d_create_display_internals     [   0.77475] Returning d3d_display: 03150B48
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.77477] al_display=03150B48
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.77478] al_display->vt=03111CE0
system   D            wsystem.c:674  maybe_parent_dir                 [   0.77494] Also searching D:\Documents\School\Fall\AI\EGP-410\GameAI\steering\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.77508] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:635  load_library_at_path             [   0.77510] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:638  load_library_at_path             [   0.77817] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.77832] Module "d3dx9_43.dll" loaded.
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.77986] Loading DirectSound module
system   D            wsystem.c:674  maybe_parent_dir                 [   0.78026] Also searching D:\Documents\School\Fall\AI\EGP-410\GameAI\steering\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.78067] PathFindOnPath found: C:\WINDOWS\system32\dsound.dll
system   D            wsystem.c:635  load_library_at_path             [   0.78069] Calling LoadLibrary C:\WINDOWS\system32\dsound.dll
system   I            wsystem.c:638  load_library_at_path             [   0.78407] Loaded C:\WINDOWS\system32\dsound.dll
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.78411] Starting DirectSound...
audio-dsound D           dsound.cpp:285  _dsound_open                     [   0.82466] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.82672] Using DirectSound driver
audio-dsound D           dsound.cpp:320  _dsound_allocate_voice           [   0.82679] Allocating voice
audio-dsound D           dsound.cpp:379  _dsound_allocate_voice           [   0.82681] Allocated voice
dtor     D               dtor.c:184  _al_register_destructor          [   0.82683] added dtor for object 08E7B080, func 0F5A2563
dtor     D               dtor.c:184  _al_register_destructor          [   0.82686] added dtor for object 082F9470, func 0F5A2A31
audio-dsound D           dsound.cpp:476  _dsound_start_voice              [   0.82690] Starting voice
audio-dsound D           dsound.cpp:504  _dsound_start_voice              [   0.82692] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.82827] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.82831] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.82870] Voice started
dtor     D               dtor.c:184  _al_register_destructor          [   0.82876] added dtor for object 082AC468, func 0F5A4AC5
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.82882] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.82884] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.82886] 
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.82971] Font cour.ttf loaded with pixel size 0 x 20.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.82974]     ascent=17.0, descent=-6.0, height=23.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.82977] added dtor for object 08EAE6E8, func 0F5A1AA0
wav      I                wav.c:107  wav_open                         [   0.83010] Ignoring chunk: fact
dtor     D               dtor.c:184  _al_register_destructor          [   0.83013] added dtor for object 08E46F78, func 0F5A3F6C
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.83053] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.83054] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.83055] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.83056] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.83058] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.83059] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.83060] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.83061] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.83062] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.83063] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.83064] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.83066] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.83067] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.83195] added dtor for object 081988A0, func 0F5A41E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.83769] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.83775] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94471] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94475] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94477] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94479] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94481] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94483] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94484] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94486] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94488] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.94490] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.94492] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.94494] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.94496] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.94791] added dtor for object 038C4AE0, func 0F5A41E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94798] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94800] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94929] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94931] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94932] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94933] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94934] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94938] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94939] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94940] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.94941] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.94942] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.94943] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.94946] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.94947] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.94960] added dtor for object 038C4C48, func 0F5A41E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94966] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94968] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.95004] added dtor for object 038C4DB0, func 0F5A41E2
dtor     D               dtor.c:184  _al_register_destructor          [   0.95010] added dtor for object 038C4F18, func 0F5A41E2
dtor     D               dtor.c:184  _al_register_destructor          [   0.95017] added dtor for object 038C5080, func 0F5A41E2
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.95171] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.95175] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.95177] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.95179] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.95180] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.95182] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.95183] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.95185] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.95187] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.95188] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.95190] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.95192] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.95194] Chose bitmap format 9
font     D                ttf.c:225  alloc_glyph_region               [   0.95327] Glyph 19: 11x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.95338] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.95340] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.95379] Glyph 29: 5x11 (8x12)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.95387] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.95389] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.95558] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.95561] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.95710] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.95713] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.95727] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.95730] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.95742] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.95745] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   1.12117] Glyph 24: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.12120] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.12122] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   1.12155] Glyph 27: 9x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.12163] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.12165] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   1.12190] Glyph 22: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.12198] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.12200] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.12255] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.12258] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   1.70000] Glyph 26: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.70004] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.70005] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   1.70039] Glyph 25: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.70048] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.70051] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   1.70080] Glyph 21: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.70089] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.70091] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.70151] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.70154] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   1.73412] Glyph 20: 10x16 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.73416] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.73418] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.73489] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.73491] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   1.76820] Glyph 23: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.76824] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.76826] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.76890] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.76892] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   1.90459] Glyph 28: 11x15 (12x16)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.90462] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.90464] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.90527] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.90529] _al_d3d_sync_bitmap (video) ref count == 1
d3d      I         d3d_disp.cpp:899  d3d_destroy_display              [  13.73947] destroying display 03150B48 (current 00000000)
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [  13.74144] converting display bitmap 081B2E88 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [  13.74156] added dtor for object 081B2FF0, func 0F5A41E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  13.74160] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  13.74162] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.74194] removed dtor for object 081B2FF0
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [  13.74203] converting display bitmap 038C4C48 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [  13.74206] added dtor for object 081B2FF0, func 0F5A41E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  13.74208] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  13.74209] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.74219] removed dtor for object 081B2FF0
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [  13.74221] converting display bitmap 038C4AE0 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [  13.74223] added dtor for object 081B2FF0, func 0F5A41E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  13.74225] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  13.74227] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.74236] removed dtor for object 081B2FF0
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [  13.74238] converting display bitmap 081988A0 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [  13.74342] added dtor for object 081B2FF0, func 0F5A41E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  13.74344] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  13.74346] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.74521] removed dtor for object 081B2FF0
d3d      D         d3d_disp.cpp:883  d3d_destroy_display_internals    [  13.74594] waiting for display 03150B48's thread to end
d3d      I         d3d_disp.cpp:1551 d3d_display_thread_proc          [  13.76217] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.76243] removed dtor for object 081988A0
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.76324] removed dtor for object 038C4AE0
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.76329] removed dtor for object 038C4C48
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.76346] removed dtor for object 08E46F78
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.76348] removed dtor for object 08EAE6E8
